country,iso2,iso3,group,component,source,series_id,source_adjustment,adjustment_method,date,real_value
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1995-07-01,135948
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1995-10-01,137456
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1996-01-01,138686
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1996-04-01,139546
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1996-07-01,139780
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1996-10-01,140830
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1997-01-01,142226
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1997-04-01,144579
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1997-07-01,146745
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1997-10-01,148772
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1998-01-01,149234
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1998-04-01,151628
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1998-07-01,154615
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1998-10-01,156076
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1999-01-01,158921
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1999-04-01,159942
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1999-07-01,161760
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1999-10-01,163978
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,2000-01-01,164449
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,2000-04-01,165850
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,2000-07-01,167638
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,2000-10-01,168704
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,2001-01-01,170196
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,2001-04-01,171269
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,2001-07-01,171698
